sample_id,project,cwe_id,vulnerability_type,analyzer,baseline_source,knighter_candidate_group,knighter_report_count,knighter_manual_bugs,knighter_manual_not_bugs,metric_scope_note,run_started_at,output_root,report_path,success,generation_success,semantic_success,vuln_validation_blocked,vuln_validation_block_reason,vuln_validation_target,vuln_hit,vuln_diagnostics,fixed_validation_success,fixed_validation_blocked,fixed_validation_block_reason,fixed_validation_target,fixed_silent,fixed_diagnostics,pds,checker_name,iterations,compile_attempts,artifact_total_lines,artifact_nonempty_lines,agent_prompt_tokens,agent_completion_tokens,agent_total_tokens,pipeline_prompt_tokens,pipeline_completion_tokens,pipeline_total_tokens,llm_calls,total_seconds,agent_seconds,validation_seconds,error_message
vul4c_cwe476_jasper_cve201610248,jasper,CWE-476,NULL pointer dereference,csa,,,,,,,2026/4/23 19:10,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe476_jasper_cve201610248/primary/csa/20260423_190549,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe476_jasper_cve201610248/primary/csa/20260423_190549/final_report.json,FALSE,TRUE,FALSE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe476_jasper_cve201610248/vulnerable,FALSE,0,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe476_jasper_cve201610248/fixed,TRUE,0,FALSE,EmptySequenceReferenceGuardChecker,3,1,322,268,25487,4008,29495,56588,8908,65496,7,273.855,264.339,9.286,检测器已生成，但未在漏洞版本命中
vul4c_cwe476_jasper_cve201610248,jasper,CWE-476,NULL pointer dereference,codeql,,,,,,,2026/4/23 19:13,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe476_jasper_cve201610248/primary/codeql/20260423_191036,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe476_jasper_cve201610248/primary/codeql/20260423_191036/final_report.json,FALSE,TRUE,FALSE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe476_jasper_cve201610248/vulnerable,FALSE,0,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe476_jasper_cve201610248/fixed,TRUE,0,FALSE,EmptySequenceGetrefWithoutSizeGuard,3,0,57,50,23883,1430,25313,53380,3598,56978,7,142.451,132.106,10.33,检测器已生成，但未在漏洞版本命中
vul4c_cwe787_openjpeg_cve201714041,openjpeg,CWE-787,out-of-bounds write,csa,,,,,,,2026/4/23 18:07,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe787_openjpeg_cve201714041/primary/csa/20260423_180340,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe787_openjpeg_cve201714041/primary/csa/20260423_180340/final_report.json,TRUE,TRUE,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe787_openjpeg_cve201714041/vulnerable,TRUE,1,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe787_openjpeg_cve201714041/fixed,TRUE,0,TRUE,FormattedInputWidthBoundChecker,3,1,266,227,24527,3204,27731,54618,7132,61750,7,219.358,204.12,15.021,
vul4c_cwe787_openjpeg_cve201714041,openjpeg,CWE-787,out-of-bounds write,codeql,,,,,,,2026/4/23 18:10,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe787_openjpeg_cve201714041/primary/codeql/20260423_180738,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe787_openjpeg_cve201714041/primary/codeql/20260423_180738/final_report.json,TRUE,TRUE,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe787_openjpeg_cve201714041/vulnerable,TRUE,1,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe787_openjpeg_cve201714041/fixed,TRUE,0,TRUE,ScanfUnboundedScansetInConvert,4,0,64,57,30313,1975,32288,66190,4559,70749,9,173.481,162.712,10.753,
vul4c_cwe20_jasper_cve20169390,jasper,CWE-20,input validation error,csa,,,,,,,2026/4/23 18:20,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe20_jasper_cve20169390/primary/csa/20260423_181643,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe20_jasper_cve20169390/primary/csa/20260423_181643/final_report.json,TRUE,TRUE,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe20_jasper_cve20169390/vulnerable,TRUE,2,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe20_jasper_cve20169390/fixed,FALSE,2,FALSE,InvalidTileGeometryValidationChecker,3,1,95,77,22133,3650,25783,49790,7910,57700,7,242.82,233.062,9.227,
vul4c_cwe20_jasper_cve20169390,jasper,CWE-20,input validation error,codeql,,,,,,,2026/4/23 18:23,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe20_jasper_cve20169390/primary/codeql/20260423_182058,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe20_jasper_cve20169390/primary/codeql/20260423_182058/final_report.json,TRUE,TRUE,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe20_jasper_cve20169390/vulnerable,TRUE,2,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe20_jasper_cve20169390/fixed,FALSE,2,FALSE,MissingTileOffsetBoundsCheck,3,0,59,53,22657,1271,23928,50838,3109,53947,7,128.368,117.827,10.524,
vul4c_cwe20_binutils_cve20179043,binutils,CWE-20,input validation error,csa,,,,,,,2026/4/23 18:50,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe20_binutils_cve20179043/primary/csa/20260423_184530,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe20_binutils_cve20179043/primary/csa/20260423_184530/final_report.json,FALSE,TRUE,FALSE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe20_binutils_cve20179043/vulnerable,FALSE,0,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe20_binutils_cve20179043/fixed,TRUE,0,FALSE,EncodedScalarLengthValidationChecker,3,1,311,265,24287,3711,27998,54282,7865,62147,7,268.923,225.243,43.455,检测器已生成，但未在漏洞版本命中
vul4c_cwe20_binutils_cve20179043,binutils,CWE-20,input validation error,codeql,,,,,,,2026/4/23 19:00,v2_experiments/runs/vul4c_cwe20_binutils_cve20179043/primary/codeql/20260423_185048,v2_experiments/runs/vul4c_cwe20_binutils_cve20179043/primary/codeql/20260423_185048/final_report.json,FALSE,TRUE,FALSE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe20_binutils_cve20179043/vulnerable,FALSE,0,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe20_binutils_cve20179043/fixed,TRUE,0,FALSE,MissingNumericNoteWidthCheck,8,0,95,86,66707,5551,72258,139122,11832,150954,17,362.3,350.016,12.268,检测器已生成，但未在漏洞版本命中
vul4c_cwe125_graphicsmagick_cve201712937,graphicsmagick,CWE-125,out-of-bounds read,csa,,,,,,,2026/4/23 20:24,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe125_graphicsmagick_cve201712937/primary/csa/20260423_201936,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe125_graphicsmagick_cve201712937/primary/csa/20260423_201936/final_report.json,TRUE,TRUE,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe125_graphicsmagick_cve201712937/vulnerable,TRUE,12,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe125_graphicsmagick_cve201712937/fixed,FALSE,12,FALSE,ColormapIndexBoundsChecker,3,1,285,219,22672,3310,25982,50868,7144,58012,7,240.917,205.549,35.125,
vul4c_cwe125_graphicsmagick_cve201712937,graphicsmagick,CWE-125,out-of-bounds read,codeql,,,,,,,2026/4/23 20:30,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe125_graphicsmagick_cve201712937/primary/codeql/20260423_202513,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe125_graphicsmagick_cve201712937/primary/codeql/20260423_202513/final_report.json,TRUE,TRUE,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe125_graphicsmagick_cve201712937/vulnerable,TRUE,21,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe125_graphicsmagick_cve201712937/fixed,FALSE,21,FALSE,SunColormapIndexUncheckedRead,4,0,76,67,30154,1466,31620,65832,3532,69364,9,221.678,135.796,85.661,
vul4c_cwe416_graphicsmagick_cve201714103,graphicsmagick,CWE-416,use after free,csa,,,,,,,2026/4/23 20:51,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe416_graphicsmagick_cve201714103/primary/csa/20260423_204501,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe416_graphicsmagick_cve201714103/primary/csa/20260423_204501/final_report.json,FALSE,TRUE,FALSE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe416_graphicsmagick_cve201714103/vulnerable,FALSE,0,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe416_graphicsmagick_cve201714103/fixed,TRUE,0,FALSE,UseAfterFreeChecker,3,1,346,283,27814,4022,31836,63767,9369,73136,7,331.81,297.261,34.33,检测器已生成，但未在漏洞版本命中
vul4c_cwe416_graphicsmagick_cve201714103,graphicsmagick,CWE-416,use after free,codeql,,,,,,,2026/4/23 20:39,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe416_graphicsmagick_cve201714103/primary/codeql/20260423_203526,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe416_graphicsmagick_cve201714103/primary/codeql/20260423_203526/final_report.json,FALSE,TRUE,FALSE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe416_graphicsmagick_cve201714103/vulnerable,FALSE,0,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe416_graphicsmagick_cve201714103/fixed,TRUE,0,FALSE,PngReadJNGImageErrorPathUseAfterFree,4,0,59,52,34148,1524,35672,75058,3954,79012,9,211.34,168.907,42.215,检测器已生成，但未在漏洞版本命中
vul4c_cwe787_ngiflib_cve201810717,ngiflib,CWE-787,out-of-bounds write,csa,,,,,,,2026/4/23 21:05,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe787_ngiflib_cve201810717/primary/csa/20260423_205600,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe787_ngiflib_cve201810717/primary/csa/20260423_205600/final_report.json,TRUE,TRUE,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe787_ngiflib_cve201810717/vulnerable,TRUE,2,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe787_ngiflib_cve201810717/fixed,TRUE,0,TRUE,RemainingPixelBoundsWriteChecker,17,1,242,213,154306,4730,159036,161280,6069,167349,17,330.273,330.273,1.306,
vul4c_cwe787_ngiflib_cve201810717,ngiflib,CWE-787,out-of-bounds write,codeql,,,,,,,2026/4/23 21:09,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe787_ngiflib_cve201810717/primary/codeql/20260423_210607,/anonymous/home/LLM-Native/v2_experiments/runs/vul4c_cwe787_ngiflib_cve201810717/primary/codeql/20260423_210607/final_report.json,FALSE,TRUE,FALSE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe787_ngiflib_cve201810717/vulnerable,FALSE,0,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe787_ngiflib_cve201810717/fixed,FALSE,1,FALSE,RemainingPixelBoundsWrite,4,0,78,68,32602,1805,34407,72178,4920,77098,9,195.844,189.771,5.847,检测器已生成，但未在漏洞版本命中
git_cwe120_xrdp_cve202223468,xrdp,CWE-120,classic buffer overflow,csa,,,,,,,2026/4/23 21:16,/anonymous/home/LLM-Native/v2_experiments/runs/git_cwe120_xrdp_cve202223468/primary/csa/20260423_211121,/anonymous/home/LLM-Native/v2_experiments/runs/git_cwe120_xrdp_cve202223468/primary/csa/20260423_211121/final_report.json,TRUE,TRUE,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/git_cwe120_xrdp_cve202223468/vulnerable,TRUE,2,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/git_cwe120_xrdp_cve202223468/fixed,TRUE,0,TRUE,UnboundedFormattedWriteChecker,3,1,146,121,23711,2003,25714,54226,4870,59096,7,327.902,324.089,3.589,
git_cwe120_xrdp_cve202223468,xrdp,CWE-120,classic buffer overflow,codeql,,,,,,,2026/4/23 21:19,/anonymous/home/LLM-Native/v2_experiments/runs/git_cwe120_xrdp_cve202223468/primary/codeql/20260423_211656,/anonymous/home/LLM-Native/v2_experiments/runs/git_cwe120_xrdp_cve202223468/primary/codeql/20260423_211656/final_report.json,TRUE,TRUE,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/git_cwe120_xrdp_cve202223468/vulnerable,TRUE,2,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/git_cwe120_xrdp_cve202223468/fixed,TRUE,0,TRUE,UnboundedFormatToBufferChecker,4,0,35,30,31149,1451,32600,69102,3663,72765,9,147.18,140.141,7.023,
git_cwe415_vim_cve202555158,vim,CWE-415,double free,csa,,,,,,,2026/4/23 21:29,/anonymous/home/LLM-Native/v2_experiments/runs/git_cwe415_vim_cve202555158/primary/csa/20260423_212141,/anonymous/home/LLM-Native/v2_experiments/runs/git_cwe415_vim_cve202555158/primary/csa/20260423_212141/final_report.json,FALSE,TRUE,FALSE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/git_cwe415_vim_cve202555158/vulnerable,FALSE,0,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/git_cwe415_vim_cve202555158/fixed,TRUE,0,FALSE,TypvalTransferWithoutInvalidationChecker,3,1,311,245,23674,3444,27118,54009,7999,62008,7,342.278,239.381,102.675,检测器已生成，但未在漏洞版本命中
git_cwe415_vim_cve202555158,vim,CWE-415,double free,codeql,,,,,,,2026/4/23 21:32,/anonymous/home/LLM-Native/v2_experiments/runs/git_cwe415_vim_cve202555158/primary/codeql/20260423_212911,/anonymous/home/LLM-Native/v2_experiments/runs/git_cwe415_vim_cve202555158/primary/codeql/20260423_212911/final_report.json,TRUE,TRUE,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/git_cwe415_vim_cve202555158/vulnerable,TRUE,1,TRUE,FALSE,,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/git_cwe415_vim_cve202555158/fixed,FALSE,1,FALSE,PatchGuidedQuery,3,0,58,51,23110,3498,26608,46220,6996,53216,6,125.35,70.282,55.053,
