selection_rank,case_id,execution_valid,outcome,accepted_refinement,fixed_reports_available,fixed_reports_used,triage_tp,triage_fp,llm_calls,prompt_tokens,completion_tokens,total_tokens,result_sha256,run_log_sha256
1,02_3027e7b15b02_Null_Pointer_Dereference,True,refined_pds,True,2,1,0,1,2,17458,12607,30065,dbce5cd906cbf57efd7e8cb63997f7df9ddab2233a3d149b3c1d454323ba8b38,0c2869715492513a5c80f0226b3f4d198d17647d575a51001212e1df558e62de
2,05_c48a4497356f_Uninit_Data,True,residual_fixed_noise,False,1,1,0,1,2,17166,12009,29175,fae9486b273c69120d049dfa40db76cd7b2967477bc9bf89a78d48d8f9d41537,748ed5a3dd0f6ad1f6c7e71913bf2394f02248a06a8eabe33c0cfd16ba18aeac
3,07_5aa2184e2908_Double_Free,True,residual_fixed_noise,False,9,1,0,1,2,16935,13753,30688,fb08ffd1f93cb097bfe3af9d3c5be38f4fe0708709d778068ad4e69263fe54fd,6389a7c25073e04776f69540fdd3da0942006f012cbd11cd27ebc28085d6c9b9
4,08_768f17fd25e4_Integer_Overflow,True,refined_pds,True,6,1,0,1,4,34446,16074,50520,8cc91ea9e8796c419bdf56a3207f82657de459e7fc099e00f16ddd3bcbd6cfa9,490c8d49e5eda23539304999f3edeff5da8afd54422092d7f6e63eb6f74f9f56
5,09_df94cb2e57b2_Integer_Overflow,True,fixed_report_triage_miss,False,2,1,1,0,1,6119,4168,10287,7edf2b144e668b2abdff56c1eaeb5e76d59ef01c8b4d9182d4c1aebe8d741302,3a0c800e84d5249d060a608fedd41543063045649387b40f929521939feee6e9
6,10_f503ae90c735_Null_Pointer_Dereference,True,fixed_report_triage_miss,False,3,1,1,0,1,11248,449,11697,4b2996580d6dbc29410fd0f6d4593d933fb2104d3b60299840ade427014f7948,eed0042669b75d68e11a2f49a900a99bdfdc8849170269d0403f8d323ac1935c
7,14_c3d749609472_Out_of_Bound,True,validity_loss,False,4,1,0,1,4,36483,16300,52783,9aa2eef41a3c3aa40b05470b28fa4ad28f7423d1f7f5ad7b675e685b0fc3b0e3,c3cbabf6e8b86d238f40f403775ec2ed0e14a104e1c87f6411a1e02caaaa878e
8,19_39b13dce1a91_Double_Free,True,fixed_report_triage_miss,False,1,1,1,0,1,10693,414,11107,a8f68dfb30c0d5c82431636662d3cb374a3f91e8afeb526873a6b7d3edc40478,c1c45b59e5c7389a33d20fc96149eba35f61588f17353c24e89564f839a7c1d2
9,20_d8c561741ef8_Double_Free,True,fixed_report_triage_miss,False,1,1,1,0,1,7140,2498,9638,8171752c435ad2d154e41a27958a69e4a39561515e62dfc4be0bb3e33b5b1917,2b9dce6dda06176853c3b7924693d45f0c0c6419a7d3a505ab99ecb967729c03
10,23_13e788deb734_Out_of_Bound,True,refined_pds,True,1,1,0,1,4,29555,12414,41969,5bee10f3229ac637a5c3de7a12c594a946e568eb34168d78763980d24280b6be,0ba62cd80b65bb55ca422d68e05acc72ffbdc020938d8aa0fcb2c5d5b059cda5
12,34_61c43780e944_Misuse,True,fixed_report_triage_miss,False,1,1,1,0,1,6872,788,7660,797fc2e4ebef550e70ecdefc2d30d365954a899d0f12693021574fd61a08c1bd,477910fe078dc98a1a9ac07e453b08929a4eabe6b6a3856d4b494264b44ab18d
13,39_eaa03486d932_Uninit_Data,True,validity_loss,False,3,1,0,1,2,17055,10078,27133,6e13a354ee385501e60fb6be0f69714d487f18e8902e192ccc804b35061e09a0,ab46bd55fafd2f49f39d5634ba72e65eacfec4f517f643501961fc259705941b
