screen_rank,commit_id,bug_type,candidate_group,checker_id,knighter_report_count,knighter_manual_bugs,knighter_manual_not_bugs,patch_related_targets,buggy_alerts,fixed_alerts,buggy_fullscan_alerts,fixed_fullscan_alerts,buggy_miss,fixed_noisy,poor_distinguishing,buggy_report_dir,fixed_report_dir,archived_buggy_report_dir,archived_fixed_report_dir,screen1_priority,screen1_reason,manual_semantic_review_status,semantic_gap_tags,selection_hint
21,3e91a38de1dce97b385d732a5f444264ea8fbd92,Misuse,positive_scan_report_count,old:3e91a38de1dce97b385d732a5f444264ea8fbd92:checker2,1,1,0,drivers/video/fbdev/via/viafbdev.o,1,0,,,FALSE,FALSE,FALSE,research/knighter/runs/knighter-v613/validation_20260616_202439/buggy/2026-06-16-202510-2203211-1,,research/knighter/e2/results/screen1_reports/21_3e91a38de1dc_Misuse/buggy,,P2,positive historical reports; check buggy/fixed alert separation,screen1_no_obvious_alert_count_issue,,likely_e2_plus_or_diversity_candidate
22,e651faa2fba4d387aa00b3c02e9c10232852d2ef,Misuse,positive_scan_report_count,old:e651faa2fba4d387aa00b3c02e9c10232852d2ef:checker0,1,1,0,drivers/tty/vt/consolemap.o;drivers/tty/vt/keyboard.o,1,0,,,FALSE,FALSE,FALSE,research/knighter/runs/knighter-v613/validation_20260616_202641/buggy/2026-06-16-202706-2229398-1,,research/knighter/e2/results/screen1_reports/22_e651faa2fba4_Misuse/buggy,,P2,positive historical reports; check buggy/fixed alert separation,screen1_no_obvious_alert_count_issue,,likely_e2_plus_or_diversity_candidate
23,13e788deb7348cc88df34bed736c3b3b9927ea52,Out-of-Bound,positive_scan_report_count,old:13e788deb7348cc88df34bed736c3b3b9927ea52:checker0,1,1,0,net/rds/af_rds.o,2,1,,,FALSE,TRUE,TRUE,research/knighter/runs/knighter-v613/validation_20260616_202857/buggy/2026-06-16-202923-2256710-1,research/knighter/runs/knighter-v613/validation_20260616_202857/fixed/2026-06-16-203009-2269287-1,research/knighter/e2/results/screen1_reports/23_13e788deb734_Out_of_Bound/buggy,research/knighter/e2/results/screen1_reports/23_13e788deb734_Out_of_Bound/fixed,P0,fixed-side noisy,pending_manual_semantic_review,,screen1_bad_baseline_candidate
24,97cba232549b9fe7e491fb60a69cf93075015f29,Buffer-Overflow,valid_no_local_report,old:97cba232549b9fe7e491fb60a69cf93075015f29:checker6,0,0,0,drivers/gpu/drm/amd/amdgpu/../display/dc/link/protocols/link_dp_dpia_bw.o,1,0,,,FALSE,FALSE,FALSE,research/knighter/runs/knighter-v613/validation_20260616_203052/buggy/2026-06-16-203115-2282939-1,,research/knighter/e2/results/screen1_reports/24_97cba232549b_Buffer_Overflow/buggy,,P3,zero historical reports; use to detect buggy-side misses and validity-retention cases,screen1_no_obvious_alert_count_issue,,validity_retention_or_buggy_miss_candidate
25,78ec6f9df6642418411c534683da6133e0962ec7,Concurrency,valid_no_local_report,old:78ec6f9df6642418411c534683da6133e0962ec7:checker0,0,0,0,mm/memcontrol.o,2,0,,,FALSE,FALSE,FALSE,research/knighter/runs/knighter-v613/validation_20260616_203245/buggy/2026-06-16-204009-2312790-1,,research/knighter/e2/results/screen1_reports/25_78ec6f9df664_Concurrency/buggy,,P3,zero historical reports; use to detect buggy-side misses and validity-retention cases,screen1_no_obvious_alert_count_issue,,validity_retention_or_buggy_miss_candidate
26,8bc35475ef1a23b0e224f3242eb11c76cab0ea88,Concurrency,valid_no_local_report,old:8bc35475ef1a23b0e224f3242eb11c76cab0ea88:checker4,0,0,0,kernel/workqueue.o,1,0,,,FALSE,FALSE,FALSE,research/knighter/runs/knighter-v613/validation_20260616_204210/buggy/2026-06-16-204244-2339240-1,,research/knighter/e2/results/screen1_reports/26_8bc35475ef1a_Concurrency/buggy,,P3,zero historical reports; use to detect buggy-side misses and validity-retention cases,screen1_no_obvious_alert_count_issue,,validity_retention_or_buggy_miss_candidate
27,19ebc1e6cab334a8193398d4152deb76019b5d34,Double-Free,valid_no_local_report,old:19ebc1e6cab334a8193398d4152deb76019b5d34:checker1,0,0,0,fs/smb/client/smb2ops.o,1,0,,,FALSE,FALSE,FALSE,research/knighter/runs/knighter-v613/validation_20260616_204459/buggy/2026-06-16-204525-2365799-1,,research/knighter/e2/results/screen1_reports/27_19ebc1e6cab3_Double_Free/buggy,,P3,zero historical reports; use to detect buggy-side misses and validity-retention cases,screen1_no_obvious_alert_count_issue,,validity_retention_or_buggy_miss_candidate
28,4575962aeed63aca975756852ab0c550164f849f,Double-Free,valid_no_local_report,old:4575962aeed63aca975756852ab0c550164f849f:checker0,0,0,0,drivers/pinctrl/sophgo/pinctrl-cv18xx.o,1,0,,,FALSE,FALSE,FALSE,research/knighter/runs/knighter-v613/validation_20260616_204733/buggy/2026-06-16-204757-2392404-1,,research/knighter/e2/results/screen1_reports/28_4575962aeed6_Double_Free/buggy,,P3,zero historical reports; use to detect buggy-side misses and validity-retention cases,screen1_no_obvious_alert_count_issue,,validity_retention_or_buggy_miss_candidate
29,e61dd678601eac53d501dda1eb1bcffec7b11bd6,Double-Free,valid_no_local_report,old:e61dd678601eac53d501dda1eb1bcffec7b11bd6:checker0,0,0,0,fs/bcachefs/super.o,1,0,,,FALSE,FALSE,FALSE,research/knighter/runs/knighter-v613/validation_20260616_204931/buggy/2026-06-16-204957-2419026-1,,research/knighter/e2/results/screen1_reports/29_e61dd678601e_Double_Free/buggy,,P3,zero historical reports; use to detect buggy-side misses and validity-retention cases,screen1_no_obvious_alert_count_issue,,validity_retention_or_buggy_miss_candidate
30,e8c276d4dc0e19ee48385f74426aebc855b49aaf,Double-Free,valid_no_local_report,old:e8c276d4dc0e19ee48385f74426aebc855b49aaf:checker0,0,0,0,drivers/misc/fastrpc.o,1,0,,,FALSE,FALSE,FALSE,research/knighter/runs/knighter-v613/validation_20260616_205142/buggy/2026-06-16-205206-2445637-1,,research/knighter/e2/results/screen1_reports/30_e8c276d4dc0e_Double_Free/buggy,,P3,zero historical reports; use to detect buggy-side misses and validity-retention cases,screen1_no_obvious_alert_count_issue,,validity_retention_or_buggy_miss_candidate
31,27834971f616c5e154423c578fa95e0444444ce1,Memory-Leak,valid_no_local_report,old:27834971f616c5e154423c578fa95e0444444ce1:checker0,0,0,0,drivers/virt/coco/tdx-guest/tdx-guest.o,0,0,,,TRUE,FALSE,TRUE,research/knighter/runs/knighter-v613/validation_20260616_205342/buggy/2026-06-16-205412-2472149-1,research/knighter/runs/knighter-v613/validation_20260616_205342/fixed/2026-06-16-205500-2484950-1,research/knighter/e2/results/screen1_reports/31_27834971f616_Memory_Leak/buggy,research/knighter/e2/results/screen1_reports/31_27834971f616_Memory_Leak/fixed,P0,buggy-side miss; fixed alerts >= buggy alerts,pending_manual_semantic_review,,screen1_bad_baseline_candidate
32,4050957c7c2c14aa795dbf423b4180d5ac04e113,Memory-Leak,valid_no_local_report,old:4050957c7c2c14aa795dbf423b4180d5ac04e113:checker4,0,0,0,drivers/gpu/drm/exynos/exynos_drm_gsc.o,1,0,,,FALSE,FALSE,FALSE,research/knighter/runs/knighter-v613/validation_20260616_205540/buggy/2026-06-16-205608-2498717-1,,research/knighter/e2/results/screen1_reports/32_4050957c7c2c_Memory_Leak/buggy,,P3,zero historical reports; use to detect buggy-side misses and validity-retention cases,screen1_no_obvious_alert_count_issue,,validity_retention_or_buggy_miss_candidate
33,ca93bf607a44c1f009283dac4af7df0d9ae5e357,Memory-Leak,valid_no_local_report,old:ca93bf607a44c1f009283dac4af7df0d9ae5e357:checker0,0,0,0,drivers/thermal/mediatek/lvts_thermal.o,1,0,,,FALSE,FALSE,FALSE,research/knighter/runs/knighter-v613/validation_20260616_205739/buggy/2026-06-16-205804-2524947-1,,research/knighter/e2/results/screen1_reports/33_ca93bf607a44_Memory_Leak/buggy,,P3,zero historical reports; use to detect buggy-side misses and validity-retention cases,screen1_no_obvious_alert_count_issue,,validity_retention_or_buggy_miss_candidate
34,61c43780e9444123410cd48c2483e01d2b8f75e8,Misuse,valid_no_local_report,old:61c43780e9444123410cd48c2483e01d2b8f75e8:checker0,0,0,0,net/devlink/port.o,2,1,,,FALSE,TRUE,TRUE,research/knighter/runs/knighter-v613/validation_20260616_205936/buggy/2026-06-16-205959-2551191-1,research/knighter/runs/knighter-v613/validation_20260616_205936/fixed/2026-06-16-210048-2563766-1,research/knighter/e2/results/screen1_reports/34_61c43780e944_Misuse/buggy,research/knighter/e2/results/screen1_reports/34_61c43780e944_Misuse/fixed,P0,fixed-side noisy,pending_manual_semantic_review,,screen1_bad_baseline_candidate
35,279c3a2a5eb2c1054fbe38e5c33be08584229047,Out-of-Bound,valid_no_local_report,old:279c3a2a5eb2c1054fbe38e5c33be08584229047:checker0,0,0,0,drivers/iio/adc/palmas_gpadc.o,5,0,,,FALSE,FALSE,FALSE,research/knighter/runs/knighter-v613/validation_20260616_210132/buggy/2026-06-16-210220-2577522-1,,research/knighter/e2/results/screen1_reports/35_279c3a2a5eb2_Out_of_Bound/buggy,,P3,zero historical reports; use to detect buggy-side misses and validity-retention cases,screen1_no_obvious_alert_count_issue,,validity_retention_or_buggy_miss_candidate
36,3f7d9c1964fcd16d02a8a9d4fd6f6cb60c4cc530,Out-of-Bound,valid_no_local_report,old:3f7d9c1964fcd16d02a8a9d4fd6f6cb60c4cc530:checker1,0,0,0,drivers/net/virtio_net.o,1,0,,,FALSE,FALSE,FALSE,research/knighter/runs/knighter-v613/validation_20260616_210352/buggy/2026-06-16-210423-2603759-1,,research/knighter/e2/results/screen1_reports/36_3f7d9c1964fc_Out_of_Bound/buggy,,P3,zero historical reports; use to detect buggy-side misses and validity-retention cases,screen1_no_obvious_alert_count_issue,,validity_retention_or_buggy_miss_candidate
37,0336f8ffece62f882ab3012820965a786a983f70,UAF,valid_no_local_report,old:0336f8ffece62f882ab3012820965a786a983f70:checker0,0,0,0,drivers/net/ethernet/ti/tlan.o,1,0,,,FALSE,FALSE,FALSE,research/knighter/runs/knighter-v613/validation_20260616_210630/buggy/2026-06-16-210658-2630277-1,,research/knighter/e2/results/screen1_reports/37_0336f8ffece6_UAF/buggy,,P3,zero historical reports; use to detect buggy-side misses and validity-retention cases,screen1_no_obvious_alert_count_issue,,validity_retention_or_buggy_miss_candidate
38,3948abaa4e2be938ccdfc289385a27342fb13d43,Uninit-Data,valid_no_local_report,old:3948abaa4e2be938ccdfc289385a27342fb13d43:checker0,0,0,0,fs/fhandle.o,2,0,,,FALSE,FALSE,FALSE,research/knighter/runs/knighter-v613/validation_20260616_210838/buggy/2026-06-16-210908-2657417-1,,research/knighter/e2/results/screen1_reports/38_3948abaa4e2b_Uninit_Data/buggy,,P3,zero historical reports; use to detect buggy-side misses and validity-retention cases,screen1_no_obvious_alert_count_issue,,validity_retention_or_buggy_miss_candidate
39,eaa03486d932572dfd1c5f64f9dfebe572ad88c0,Uninit-Data,valid_no_local_report,old:eaa03486d932572dfd1c5f64f9dfebe572ad88c0:checker4,0,0,0,drivers/base/regmap/regcache-maple.o,5,3,,,FALSE,TRUE,TRUE,research/knighter/runs/knighter-v613/validation_20260616_211036/buggy/2026-06-16-211100-2683696-1,research/knighter/runs/knighter-v613/validation_20260616_211036/fixed/2026-06-16-211147-2696343-1,research/knighter/e2/results/screen1_reports/39_eaa03486d932_Uninit_Data/buggy,research/knighter/e2/results/screen1_reports/39_eaa03486d932_Uninit_Data/fixed,P0,fixed-side noisy,pending_manual_semantic_review,,screen1_bad_baseline_candidate
